ingredients_rxcuis,ingredients_names,num_ingredients,pt_meddra_id,pt_meddra_term,percent_labels,num_labels
"161, 1886, 19860, 2670","acetaminophen, caffeine, butalbital, codeine",4,10005382,Blood caffeine,0.9166666666666666,12
"161, 1886, 19860, 2670","acetaminophen, caffeine, butalbital, codeine",4,10010071,Coma,1.0,12
"161, 1886, 19860, 2670","acetaminophen, caffeine, butalbital, codeine",4,10011906,Death,1.0,12
"161, 1886, 19860, 2670","acetaminophen, caffeine, butalbital, codeine",4,10012335,Dependence,1.0,12
"161, 1886, 19860, 2670","acetaminophen, caffeine, butalbital, codeine",4,10038678,Respiratory depression,1.0,12
"161, 1886, 19860, 2670","acetaminophen, caffeine, butalbital, codeine",4,10039897,Sedation,1.0,12
"161, 1886, 19860, 2670","acetaminophen, caffeine, butalbital, codeine",4,10067125,Liver injury,1.0,12
7238,nalbuphine,1,10038678,Respiratory depression,1.0,11
82122,levofloxacin,1,10043248,Tendon rupture,1.0,152
82122,levofloxacin,1,10043255,Tendonitis,1.0,152
42351,lithium carbonate,1,10070863,Toxicity to various agents,1.0,79
2598,clonazepam,1,10010071,Coma,0.9836065573770492,61
2598,clonazepam,1,10011906,Death,1.0,61
2598,clonazepam,1,10038678,Respiratory depression,1.0,61
2598,clonazepam,1,10039897,Sedation,1.0,61
2002,carbamazepine,1,10001507,Agranulocytosis,1.0,103
2002,carbamazepine,1,10002967,Aplastic anaemia,1.0,103
2002,carbamazepine,1,10042033,Stevens-Johnson syndrome,0.9805825242718447,103
10154,succinylcholine,1,10007515,Cardiac arrest,0.9761904761904762,42
10154,succinylcholine,1,10011906,Death,1.0,42
10154,succinylcholine,1,10023891,Laryngospasm,0.9523809523809523,42
10154,succinylcholine,1,10039020,Rhabdomyolysis,1.0,42
4457,flumazenil,1,10039906,Seizure,1.0,11
4083,estradiol,1,10007649,Cardiovascular disorder,0.963302752293578,109
4083,estradiol,1,10008190,Cerebrovascular accident,0.9908256880733946,109
4083,estradiol,1,10012267,Dementia,0.9908256880733946,109
4083,estradiol,1,10014733,Endometrial cancer,1.0,109
4083,estradiol,1,10028596,Myocardial infarction,0.8440366972477065,109
4083,estradiol,1,10037377,Pulmonary embolism,0.3853211009174312,109
4083,estradiol,1,10051055,Deep vein thrombosis,0.9908256880733946,109
89013,aripiprazole,1,10011906,Death,1.0,135
6918,metoprolol,1,10011078,Coronary artery disease,0.9673202614379085,153
6918,metoprolol,1,10028596,Myocardial infarction,1.0,153
6918,metoprolol,1,10028600,Myocardial ischaemia,0.6862745098039216,153
"195085, 300195, 68244","efavirenz, tenofovir disoproxil, lamivudine",3,10019731,Hepatitis B,1.0,4
9071,quinine,1,10018932,Haemolytic uraemic syndrome,1.0,9
9071,quinine,1,10043554,Thrombocytopenia,1.0,9
9071,quinine,1,10043648,Thrombotic thrombocytopenic purpura,1.0,9
"10763, 5487","triamterene, hydrochlorothiazide",2,10020646,Hyperkalaemia,0.7297297297297297,37
"10763, 5487","triamterene, hydrochlorothiazide",2,10062237,Renal impairment,1.0,37
2551,ciprofloxacin,1,10043248,Tendon rupture,1.0,237
2551,ciprofloxacin,1,10043255,Tendonitis,0.9831223628691983,237
10582,levothyroxine,1,10047895,Weight decreased,1.0,219
3355,diclofenac,1,10008190,Cerebrovascular accident,1.0,342
3355,diclofenac,1,10017955,Gastrointestinal haemorrhage,0.6578947368421053,342
3355,diclofenac,1,10028596,Myocardial infarction,1.0,342
3355,diclofenac,1,10055798,Haemorrhage,0.9210526315789473,342
39786,venlafaxine,1,10012378,Depression,1.0,98
725,amphetamine,1,10042434,Sudden death,0.8181818181818182,22
24812,felbamate,1,10002967,Aplastic anaemia,1.0,16
24812,felbamate,1,10011906,Death,1.0,16
24812,felbamate,1,10019663,Hepatic failure,1.0,16
24812,felbamate,1,10019837,Hepatocellular injury,1.0,16
24812,felbamate,1,10021789,Infection,1.0,16
24812,felbamate,1,10055798,Haemorrhage,1.0,16
