section,zip_id,label_id,set_id,spl_version,pt_meddra_id,pt_meddra_term,pred0,pred1
7,BW,20200222_7a090720-fd90-4976-9aa2-41812106eb70,7a090720-fd90-4976-9aa2-41812106eb70,7a090720-fd90-4976-9aa2-41812106eb70,1,10011906,Death,0.0,4.438584566116333
22,BW,20200223_8c1edb39-1ae9-44f1-b23b-387b715a3df6,5cb67400-23a2-4878-a7a7-b2e35e8429c4,8c1edb39-1ae9-44f1-b23b-387b715a3df6,13,10005382,Blood caffeine,0.34066269401874805,3.7161328395207724
34,BW,20200223_8c1edb39-1ae9-44f1-b23b-387b715a3df6,5cb67400-23a2-4878-a7a7-b2e35e8429c4,8c1edb39-1ae9-44f1-b23b-387b715a3df6,13,10010071,Coma,0.0,4.85732364654541
36,BW,20200223_8c1edb39-1ae9-44f1-b23b-387b715a3df6,5cb67400-23a2-4878-a7a7-b2e35e8429c4,8c1edb39-1ae9-44f1-b23b-387b715a3df6,13,10011906,Death,0.0,4.772040009498596
37,BW,20200223_8c1edb39-1ae9-44f1-b23b-387b715a3df6,5cb67400-23a2-4878-a7a7-b2e35e8429c4,8c1edb39-1ae9-44f1-b23b-387b715a3df6,13,10012335,Dependence,0.5552609364191691,3.7905161579449973
51,BW,20200223_8c1edb39-1ae9-44f1-b23b-387b715a3df6,5cb67400-23a2-4878-a7a7-b2e35e8429c4,8c1edb39-1ae9-44f1-b23b-387b715a3df6,13,10038678,Respiratory depression,0.3706636761243527,4.3786337696588955
53,BW,20200223_8c1edb39-1ae9-44f1-b23b-387b715a3df6,5cb67400-23a2-4878-a7a7-b2e35e8429c4,8c1edb39-1ae9-44f1-b23b-387b715a3df6,13,10039897,Sedation,0.4195299558341503,3.779370665550232
63,BW,20200223_8c1edb39-1ae9-44f1-b23b-387b715a3df6,5cb67400-23a2-4878-a7a7-b2e35e8429c4,8c1edb39-1ae9-44f1-b23b-387b715a3df6,13,10067125,Liver injury,0.13544649258255956,3.996248960494995
72,BW,20200223_8f8c5c01-5859-4843-adf4-8116ddaedc90,9465cf48-74b4-4615-83ef-4a3724c5f9e1,8f8c5c01-5859-4843-adf4-8116ddaedc90,11,10005382,Blood caffeine,0.34035092116230065,3.721024407280816
84,BW,20200223_8f8c5c01-5859-4843-adf4-8116ddaedc90,9465cf48-74b4-4615-83ef-4a3724c5f9e1,8f8c5c01-5859-4843-adf4-8116ddaedc90,11,10010071,Coma,0.0,4.85732364654541
