SETID,ZIP_FILE_NAME,UPLOAD_DATE,SPL_VERSION,TITLE
a661a6c8-0eb3-0b28-e053-2a95a90a66fe,20200524_a661a6c8-0eb3-0b28-e053-2a95a90a66fe.zip,05/26/2020,1,"(BIOTEMED) INSTANT HAND SANITIZER (ALCOHOL) GEL [QINGDAO HEALTH OCEAN BIOPHARMACEUTICAL CO., LTD.]"
94d13f48-fbca-67b4-e053-2995a90a791b,20221002_94d13f48-fbca-67b4-e053-2995a90a791b.zip,10/03/2022,3,"(CHLOROPROCAINE HCI INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
25500fd1-4fee-43db-9c71-45912594fe06,20091231_25500fd1-4fee-43db-9c71-45912594fe06.zip,10/09/2010,1,(DEODORANT PLUS ANTIPERSPIRANT) STICK [RAANI CORPORATION]
7508ce57-40bc-4d50-8025-44d28bfc2ccb,20091231_7508ce57-40bc-4d50-8025-44d28bfc2ccb.zip,10/09/2010,1,(DEODORANT PLUS ANTIPERSPIRANT) STICK [RAANI CORPORATION]
a338f711-734c-07d3-e053-2a95a90aed79,20200419_a338f711-734c-07d3-e053-2a95a90aed79.zip,04/20/2020,3,(ETHANOL62%) DR KEEPS GEL (ETHANOL) (ALCOHOL) GEL [THE GUNG CO LTD]
a39f4d92-398f-59cd-e053-2995a90a4f49,20200419_a39f4d92-398f-59cd-e053-2995a90a4f49.zip,04/20/2020,1,(ETHANOL70%) DR KEEPS ONE GEL (ETHANOL) (ALCOHOL) GEL [THE GUNG CO LTD]
a33959b4-3d4d-290f-e053-2a95a90a460b,20200414_a33959b4-3d4d-290f-e053-2a95a90a460b.zip,04/14/2020,1,(ETHANOL72%) DR KEEPS 72 GEL (ETHANOL) (ALCOHOL) GEL [THE GUNG CO LTD]
a51de42d-7afa-11ab-e053-2a95a90a01e5,20200509_a51de42d-7afa-11ab-e053-2a95a90a01e5.zip,05/11/2020,1,"(FRULI) 75% ALCOHOL DISINFECTANT (ALCOHOL) LIQUID [SHANDONG ZHUOJIAN MEDICAL TECHNOLOGY CO., LTD.]"
a548ab68-71c8-709a-e053-2995a90af1f7,20200613_a548ab68-71c8-709a-e053-2995a90af1f7.zip,06/15/2020,2,"(FRULI) HAND ANTISEPTIC RINSE FREE GEL (ALCOHOL) GEL [SHANDONG ZHUOJIAN MEDICAL TECHNOLOGY CO., LTD.]"
a5486903-f5da-bd0e-e053-2995a90ac507,20200511_a5486903-f5da-bd0e-e053-2995a90ac507.zip,05/11/2020,1,"(FRULI) QUICK-DRY DISPOSABLE HAND SANITIZER (ALCOHOL) LIQUID [SHANDONG ZHUOJIAN MEDICAL TECHNOLOGY CO., LTD.]"
eb556291-8de5-6bc4-e053-2a95a90a1494,20221020_eb556291-8de5-6bc4-e053-2a95a90a1494.zip,10/20/2022,1,"(GLOW)SETTING 100% MINERAL POWDER SPF 35 (ZINC OXIDE) POWDER [SUPERGOOP, LLC]"
f5849afe-d254-4720-8519-19956df18ae7,20110113_f5849afe-d254-4720-8519-19956df18ae7.zip,01/13/2011,3,(NATRUM MURIATICUM) SHAMPOO [ADVANCED NATURAL SOLUTIONS]
fc9282f3-3960-45b5-9d3d-39c5f3bb9a04,20160627_fc9282f3-3960-45b5-9d3d-39c5f3bb9a04.zip,06/27/2016,1,"(OCTINOXATE, OCTISALATE, OXYBENZONE, TITANIUM DIOXIDE) LOTION [SHANGHAI KEJING CLEANING PRODUCTS CO., LTD.]"
acc70903-6f3a-45db-a1d5-f586341d2214,20160627_acc70903-6f3a-45db-a1d5-f586341d2214.zip,06/27/2016,1,"(OCTINOXATE, OCTISALATE, OXYBENZONE, TITANIUM DIOXIDE) SPRAY [SHANGHAI KEJING CLEANING PRODUCTS CO., LTD.]"
