SETID,RXCUI
00011703-bc55-4c0c-858c-149dc674bc3c,312075
000155a8-709c-44e5-a75f-cd890f3a7caf,198014
0001eaa9-e890-4e94-9d44-47a0f3086a02,251577
0001eaa9-e890-4e94-9d44-47a0f3086a02,282727
0001eaa9-e890-4e94-9d44-47a0f3086a02,845836
0001eaa9-e890-4e94-9d44-47a0f3086a02,1372925
00025ea5-d15f-49d2-a52a-6c1bd8c6a033,562600
0002ad27-779d-42ab-83b5-bc65453412a1,1425104
0002ad27-779d-42ab-83b5-bc65453412a1,1425110
0002ad27-779d-42ab-83b5-bc65453412a1,1425116
0002ad27-779d-42ab-83b5-bc65453412a1,1425118
0002eded-a283-4590-a78c-b6ff2027e684,310433
0002eded-a283-4590-a78c-b6ff2027e684,310434
0003458f-352a-46fa-9d99-230daa76ae29,199245
0003458f-352a-46fa-9d99-230daa76ae29,199246
0003458f-352a-46fa-9d99-230daa76ae29,199247
0003eccd-6147-4a7c-ae83-b2a94933e07d,197944
00040bfe-001a-484e-bec0-e21e8b27f369,106258
00046231-8fab-44a0-b986-9a9dd450881d,208545
00046231-8fab-44a0-b986-9a9dd450881d,1923809
000506eb-0340-4d15-9dd1-71f10c83a3b9,858726
000506eb-0340-4d15-9dd1-71f10c83a3b9,998282
0005aafa-08f8-4990-a54d-cc097195708f,198440
0005e2a8-3ab9-4173-a46f-9c53881379e2,213169
0005e2a8-3ab9-4173-a46f-9c53881379e2,309362
0006d193-29d6-4163-a592-5329b477051b,1044949
00071697-4ac6-4962-8eee-388b8b52bd40,998232
00071697-4ac6-4962-8eee-388b8b52bd40,998236
0007892c-8c17-400d-b820-020aa32f433b,197900
0007892c-8c17-400d-b820-020aa32f433b,197901
0007892c-8c17-400d-b820-020aa32f433b,197902
00088ecd-e45d-4080-b124-e66376ad7694,1737244
000900d4-b851-4ac4-80bb-406ff25e5590,247835
000ae256-a337-4903-845b-003777a4efa8,848176
000b5b37-3873-4007-b3be-ad99a9904bed,197686
000bf57b-1805-4746-bf1c-32856241213a,314188
000c044a-12ef-4484-942e-99552b777d58,359296
000dc81d-ab91-450c-8eae-8eb74e72296f,1656340
000dc81d-ab91-450c-8eae-8eb74e72296f,1656346
000dc81d-ab91-450c-8eae-8eb74e72296f,1656349
000dc81d-ab91-450c-8eae-8eb74e72296f,1656351
000dc81d-ab91-450c-8eae-8eb74e72296f,1656354
000dc81d-ab91-450c-8eae-8eb74e72296f,1656356
00100102-c245-4b63-a4ff-794cacda6f17,2618668
00109d18-397a-4c10-a28b-836d56d71829,1049225
00125d63-d8d0-46c5-bdf1-80d2c85eda5a,197686
0013824b-6aee-4da4-affd-35bc6bf19d91,206554
0013824b-6aee-4da4-affd-35bc6bf19d91,206559
0013824b-6aee-4da4-affd-35bc6bf19d91,342958
0013824b-6aee-4da4-affd-35bc6bf19d91,342959
00139e9f-3fd0-4dcf-a437-fb68a9988cea,205175
0013c0c8-513a-48f3-a918-5bc1750c96a7,197832
00146b91-008d-4b16-95b0-6077f98821be,198440
00171d6f-a0a7-4e90-abde-6dd3f1285ec0,1249758
00171d6f-a0a7-4e90-abde-6dd3f1285ec0,2201504
001777fb-196c-499a-94c8-6cdcef0958e9,240698
00179766-980b-44b0-99d3-1fee2bb27e37,312940
00179db3-5a76-4724-a848-28e71eb580a6,1046593
001817ea-906e-47f7-8605-41ba5a9abd21,606726
001826f4-f531-454e-a37a-e4e0b147f61b,831103
0018861f-1b9b-431b-84ee-9d34aab615c3,197843
0018861f-1b9b-431b-84ee-9d34aab615c3,197844
0018861f-1b9b-431b-84ee-9d34aab615c3,197845
0018861f-1b9b-431b-84ee-9d34aab615c3,404058
0018861f-1b9b-431b-84ee-9d34aab615c3,404061
0018861f-1b9b-431b-84ee-9d34aab615c3,404064
001aa754-65e3-4c5a-91f5-71a3d809be0c,1046593
001bb235-5801-4b31-b3be-a3b7811ea3c3,359817
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,889656
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,894778
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,894928
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,894958
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,895050
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,895069
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,895079
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,895193
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,895277
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,895288
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,895298
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,895308
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,895470
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,895480
001dd372-2692-4d6f-a71c-95e7056349a9,854868
001dd372-2692-4d6f-a71c-95e7056349a9,854870
001e3b1c-b7c1-44aa-b812-e78dbf4f3069,1437702
