SETID,SPL_VERSION,RXCUI,RXSTRING,RXTTY
00011703-bc55-4c0c-858c-149dc674bc3c,3,312075,ofloxacin 0.3 % Ophthalmic Solution,PSN
00011703-bc55-4c0c-858c-149dc674bc3c,3,312075,ofloxacin 0.3 % Ophthalmic Solution,SY
00011703-bc55-4c0c-858c-149dc674bc3c,3,312075,ofloxacin 3 MG/ML Ophthalmic Solution,SCD
000155a8-709c-44e5-a75f-cd890f3a7caf,24,198014,naproxen 500 MG Oral Tablet,PSN
000155a8-709c-44e5-a75f-cd890f3a7caf,24,198014,naproxen 500 MG Oral Tablet,SCD
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,251577,salicylic acid 2 % Topical Solution,PSN
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,251577,salicylic acid 2 % Topical Solution,SY
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,251577,salicylic acid 20 MG/ML Topical Solution,SCD
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,282727,sulfur 5 % Topical Solution,PSN
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,282727,sulfur 5 % Topical Solution,SY
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,282727,sulfur 50 MG/ML Topical Solution,SCD
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,845836,benzoyl peroxide 2.5 % Medicated Liquid Soap,PSN
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,845836,benzoyl peroxide 2.5 % Medicated Liquid Soap,SY
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,845836,benzoyl peroxide 25 MG/ML Medicated Liquid Soap,SCD
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,1372925,benzoyl peroxide 2.5 % Medicated Liquid Soap (240 ML) / salicylic acid 2 % Topical Solution (120 ML) / sulfur 5 % Topical Solution (60 ML) Pack,PSN
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,1372925,{1 (240 ML) (benzoyl peroxide 2.5 % Medicated Liquid Soap) / 1 (120 ML) (salicylic acid 2 % Topical Solution) / 1 (60 ML) (sulfur 5 % Topical Solution) } Pack,SY
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,1372925,{1 (240 ML) (benzoyl peroxide 25 MG/ML Medicated Liquid Soap) / 1 (120 ML) (salicylic acid 20 MG/ML Topical Solution) / 1 (60 ML) (sulfur 50 MG/ML Topical Solution) } Pack,GPCK
00025ea5-d15f-49d2-a52a-6c1bd8c6a033,12,562600,salicylic acid 2 % Facial Cleanser Toner,SY
00025ea5-d15f-49d2-a52a-6c1bd8c6a033,12,562600,salicylic acid 2 % Facial Scrub,SY
00025ea5-d15f-49d2-a52a-6c1bd8c6a033,12,562600,salicylic acid 2 % Medicated Liquid Soap,PSN
00025ea5-d15f-49d2-a52a-6c1bd8c6a033,12,562600,salicylic acid 2 % Medicated Liquid Soap,SY
00025ea5-d15f-49d2-a52a-6c1bd8c6a033,12,562600,salicylic acid 20 MG/ML Medicated Liquid Soap,SCD
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425104,trametinib 0.5 MG (as trametinib dimethyl sulfoxide 0.5635 MG) Oral Tablet,SY
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425104,trametinib 0.5 MG Oral Tablet,PSN
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425104,trametinib 0.5 MG Oral Tablet,SCD
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425110,Mekinist 0.5 MG (as trametinib dimethyl sulfoxide 0.5635 MG) Oral Tablet,SY
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425110,Mekinist 0.5 MG Oral Tablet,PSN
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425110,Mekinist 0.5 MG Oral Tablet,SY
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425110,trametinib 0.5 MG Oral Tablet [Mekinist],SBD
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425116,trametinib 2 MG (as trametinib dimethyl sulfoxide 2.254 MG) Oral Tablet,SY
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425116,trametinib 2 MG Oral Tablet,PSN
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425116,trametinib 2 MG Oral Tablet,SCD
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425118,Mekinist 2 MG (as trametinib dimethyl sulfoxide 2.254 MG) Oral Tablet,SY
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425118,Mekinist 2 MG Oral Tablet,PSN
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425118,Mekinist 2 MG Oral Tablet,SY
0002ad27-779d-42ab-83b5-bc65453412a1,19,1425118,trametinib 2 MG Oral Tablet [Mekinist],SBD
0002eded-a283-4590-a78c-b6ff2027e684,1,310433,gabapentin 600 MG Oral Tablet,PSN
0002eded-a283-4590-a78c-b6ff2027e684,1,310433,gabapentin 600 MG Oral Tablet,SCD
0002eded-a283-4590-a78c-b6ff2027e684,1,310434,gabapentin 800 MG Oral Tablet,PSN
0002eded-a283-4590-a78c-b6ff2027e684,1,310434,gabapentin 800 MG Oral Tablet,SCD
0003458f-352a-46fa-9d99-230daa76ae29,10,199245,glimepiride 1 MG Oral Tablet,PSN
0003458f-352a-46fa-9d99-230daa76ae29,10,199245,glimepiride 1 MG Oral Tablet,SCD
0003458f-352a-46fa-9d99-230daa76ae29,10,199246,glimepiride 2 MG Oral Tablet,PSN
0003458f-352a-46fa-9d99-230daa76ae29,10,199246,glimepiride 2 MG Oral Tablet,SCD
0003458f-352a-46fa-9d99-230daa76ae29,10,199247,glimepiride 4 MG Oral Tablet,PSN
0003458f-352a-46fa-9d99-230daa76ae29,10,199247,glimepiride 4 MG Oral Tablet,SCD
0003eccd-6147-4a7c-ae83-b2a94933e07d,7,197944,methocarbamol 750 MG Oral Tablet,PSN
0003eccd-6147-4a7c-ae83-b2a94933e07d,7,197944,methocarbamol 750 MG Oral Tablet,SCD
00040bfe-001a-484e-bec0-e21e8b27f369,3,106258,hydrocortisone 1 % (as hydrocortisone acetate 1.2 % ) Topical Cream,SY
00040bfe-001a-484e-bec0-e21e8b27f369,3,106258,hydrocortisone 1 % Topical Cream,PSN
00040bfe-001a-484e-bec0-e21e8b27f369,3,106258,hydrocortisone 1 % Topical Cream,SY
00040bfe-001a-484e-bec0-e21e8b27f369,3,106258,hydrocortisone 1 GM per 100 GM Topical Cream,SY
00040bfe-001a-484e-bec0-e21e8b27f369,3,106258,hydrocortisone 10 MG/ML Topical Cream,SCD
00046231-8fab-44a0-b986-9a9dd450881d,7,208545,levothyroxine sodium 76 MCG / liothyronine sodium 18 MCG Oral Tablet,SY
00046231-8fab-44a0-b986-9a9dd450881d,7,208545,thyroid (USP) 120 MG Oral Tablet,SCD
00046231-8fab-44a0-b986-9a9dd450881d,7,208545,thyroid (USP) 2 grain Oral Tablet,SY
00046231-8fab-44a0-b986-9a9dd450881d,7,208545,thyroid 120 MG Oral Tablet,PSN
00046231-8fab-44a0-b986-9a9dd450881d,7,1923809,NP Thyroid (levothyroxine sodium 76 MCG / liothyronine sodium 18 MCG) Oral Tablet,SY
00046231-8fab-44a0-b986-9a9dd450881d,7,1923809,NP Thyroid 120 MG Oral Tablet,PSN
00046231-8fab-44a0-b986-9a9dd450881d,7,1923809,NP Thyroid 120 MG Oral Tablet,SY
00046231-8fab-44a0-b986-9a9dd450881d,7,1923809,NP Thyroid 2 grains Oral Tablet,SY
00046231-8fab-44a0-b986-9a9dd450881d,7,1923809,thyroid (USP) 120 MG Oral Tablet [NP Thyroid],SBD
000506eb-0340-4d15-9dd1-71f10c83a3b9,14,858726,chlorhexidine gluconate 2 % / isopropyl alcohol 70 % Topical Solution,PSN
000506eb-0340-4d15-9dd1-71f10c83a3b9,14,858726,chlorhexidine gluconate 2 % / isopropyl alcohol 70 % Topical Solution,SY
000506eb-0340-4d15-9dd1-71f10c83a3b9,14,858726,chlorhexidine gluconate 20 MG/ML / isopropyl alcohol 0.7 ML/ML Topical Solution,SCD
000506eb-0340-4d15-9dd1-71f10c83a3b9,14,998282,ChloraPrep (chlorhexidine gluconate 2 % / isopropyl alcohol 70 % ) Topical Solution,SY
000506eb-0340-4d15-9dd1-71f10c83a3b9,14,998282,ChloraPrep 2 % / 70 % Topical Solution,PSN
000506eb-0340-4d15-9dd1-71f10c83a3b9,14,998282,chlorhexidine gluconate 20 MG/ML / isopropyl alcohol 0.7 ML/ML Topical Solution [ChloraPrep],SBD
0005aafa-08f8-4990-a54d-cc097195708f,15,198440,APAP 500 MG Oral Tablet,SY
0005aafa-08f8-4990-a54d-cc097195708f,15,198440,acetaminophen 500 MG Oral Tablet,PSN
0005aafa-08f8-4990-a54d-cc097195708f,15,198440,acetaminophen 500 MG Oral Tablet,SCD
0005e2a8-3ab9-4173-a46f-9c53881379e2,2,213169,Plavix 75 MG (clopidogrel bisulfate 97.875 MG) Oral Tablet,SY
0005e2a8-3ab9-4173-a46f-9c53881379e2,2,213169,Plavix 75 MG Oral Tablet,PSN
0005e2a8-3ab9-4173-a46f-9c53881379e2,2,213169,Plavix 75 MG Oral Tablet,SY
0005e2a8-3ab9-4173-a46f-9c53881379e2,2,213169,clopidogrel 75 MG Oral Tablet [Plavix],SBD
0005e2a8-3ab9-4173-a46f-9c53881379e2,2,309362,clopidogrel 75 MG (as clopidogrel bisulfate 97.875 MG) Oral Tablet,SY
0005e2a8-3ab9-4173-a46f-9c53881379e2,2,309362,clopidogrel 75 MG Oral Tablet,PSN
0005e2a8-3ab9-4173-a46f-9c53881379e2,2,309362,clopidogrel 75 MG Oral Tablet,SCD
