ingredients_rxcuis,ingredients_names,num_ingredients,pt_meddra_id,pt_meddra_term,percent_labels,num_labels
52175,losartan,1,10000081,Abdominal pain,0.9732142857142857,112
52175,losartan,1,10002034,Anaemia,0.9732142857142857,112
52175,losartan,1,10002198,Anaphylactic reaction,0.9821428571428571,112
52175,losartan,1,10002424,Angioedema,0.9732142857142857,112
52175,losartan,1,10003239,Arthralgia,0.9821428571428571,112
52175,losartan,1,10003549,Asthenia,0.9732142857142857,112
52175,losartan,1,10003658,Atrial fibrillation,0.9821428571428571,112
52175,losartan,1,10003988,Back pain,0.9732142857142857,112
52175,losartan,1,10008190,Cerebrovascular accident,0.9464285714285714,112
52175,losartan,1,10008479,Chest pain,0.9732142857142857,112
52175,losartan,1,10010774,Constipation,0.9732142857142857,112
52175,losartan,1,10011224,Cough,0.9732142857142857,112
52175,losartan,1,10012378,Depression,0.9732142857142857,112
52175,losartan,1,10012456,Dermatitis exfoliative generalised,0.9821428571428571,112
52175,losartan,1,10012735,Diarrhoea,0.9910714285714286,112
52175,losartan,1,10013573,Dizziness,0.9732142857142857,112
52175,losartan,1,10013911,Dysgeusia,0.9821428571428571,112
52175,losartan,1,10013968,Dyspnoea,0.9732142857142857,112
52175,losartan,1,10016256,Fatigue,0.9732142857142857,112
52175,losartan,1,10019211,Headache,0.9732142857142857,112
52175,losartan,1,10019717,Hepatitis,0.9375,112
52175,losartan,1,10020646,Hyperkalaemia,0.9821428571428571,112
52175,losartan,1,10020993,Hypoglycaemia,0.9821428571428571,112
52175,losartan,1,10021036,Hyponatraemia,0.9017857142857143,112
52175,losartan,1,10021097,Hypotension,0.9821428571428571,112
52175,losartan,1,10025482,Malaise,0.9821428571428571,112
52175,losartan,1,10027599,Migraine,0.9732142857142857,112
52175,losartan,1,10028372,Muscular weakness,0.9821428571428571,112
52175,losartan,1,10028411,Myalgia,0.9821428571428571,112
52175,losartan,1,10028735,Nasal congestion,0.9642857142857143,112
52175,losartan,1,10028813,Nausea,0.9821428571428571,112
52175,losartan,1,10031127,Orthostatic hypotension,0.9732142857142857,112
52175,losartan,1,10033557,Palpitations,0.9821428571428571,112
52175,losartan,1,10033775,Paraesthesia,0.9732142857142857,112
52175,losartan,1,10034972,Photosensitivity reaction,0.9821428571428571,112
52175,losartan,1,10037087,Pruritus,0.9732142857142857,112
52175,losartan,1,10037844,Rash,0.9732142857142857,112
52175,losartan,1,10039020,Rhabdomyolysis,0.9732142857142857,112
52175,losartan,1,10040984,Sleep disorder,0.9732142857142857,112
52175,losartan,1,10041349,Somnolence,0.9732142857142857,112
52175,losartan,1,10042772,Syncope,0.9732142857142857,112
52175,losartan,1,10043554,Thrombocytopenia,0.9821428571428571,112
52175,losartan,1,10043882,Tinnitus,0.9732142857142857,112
52175,losartan,1,10046306,Upper respiratory tract infection,0.9732142857142857,112
52175,losartan,1,10046571,Urinary tract infection,0.9821428571428571,112
52175,losartan,1,10046735,Urticaria,0.9732142857142857,112
52175,losartan,1,10047115,Vasculitis,0.9821428571428571,112
52175,losartan,1,10047340,Vertigo,0.9821428571428571,112
52175,losartan,1,10047700,Vomiting,0.9910714285714286,112
