set_id,ingredient_rx_cui,ingredient_name,ingredient_omop_concept_id
000155a8-709c-44e5-a75f-cd890f3a7caf,7258,naproxen,1115008
0001d1cf-f727-4875-a44f-5a51f7b617a4,1378,benzalkonium,916460
0001eaa9-e890-4e94-9d44-47a0f3086a02,10223,sulfur,1036525
0001eaa9-e890-4e94-9d44-47a0f3086a02,1418,benzoyl peroxide,918172
0001eaa9-e890-4e94-9d44-47a0f3086a02,9525,salicylic acid,964407
0001eaa9-e890-4e94-9d44-47a0f3086a02,9525,salicylic acid,964407
0001eaa9-e890-4e94-9d44-47a0f3086a02,1418,benzoyl peroxide,918172
0001eaa9-e890-4e94-9d44-47a0f3086a02,10223,sulfur,1036525
00025ea5-d15f-49d2-a52a-6c1bd8c6a033,9525,salicylic acid,964407
0002ad27-779d-42ab-83b5-bc65453412a1,1425099,trametinib,43532497
0002ad27-779d-42ab-83b5-bc65453412a1,1425099,trametinib,43532497
0002ad27-779d-42ab-83b5-bc65453412a1,1425099,trametinib,43532497
0002ad27-779d-42ab-83b5-bc65453412a1,1425099,trametinib,43532497
0002ad27-779d-42ab-83b5-bc65453412a1,1425099,trametinib,43532497
0002ad27-779d-42ab-83b5-bc65453412a1,1425099,trametinib,43532497
0002eded-a283-4590-a78c-b6ff2027e684,25480,gabapentin,797399
0002eded-a283-4590-a78c-b6ff2027e684,25480,gabapentin,797399
0003458f-352a-46fa-9d99-230daa76ae29,25789,glimepiride,1597756
0003458f-352a-46fa-9d99-230daa76ae29,25789,glimepiride,1597756
0003458f-352a-46fa-9d99-230daa76ae29,25789,glimepiride,1597756
0003eccd-6147-4a7c-ae83-b2a94933e07d,6845,methocarbamol,704943
00040bfe-001a-484e-bec0-e21e8b27f369,5492,hydrocortisone,975125
00046231-8fab-44a0-b986-9a9dd450881d,10572,thyroid (USP),1501309
00046231-8fab-44a0-b986-9a9dd450881d,10572,thyroid (USP),1501309
0005aafa-08f8-4990-a54d-cc097195708f,161,acetaminophen,1125315
0005e2a8-3ab9-4173-a46f-9c53881379e2,32968,clopidogrel,1322184
0005e2a8-3ab9-4173-a46f-9c53881379e2,32968,clopidogrel,1322184
00071697-4ac6-4962-8eee-388b8b52bd40,4910,glycerin,961145
00071697-4ac6-4962-8eee-388b8b52bd40,4910,glycerin,961145
000775ae-38dc-40ea-b96f-a0baf5d03511,8536,polymyxin B,948582
000775ae-38dc-40ea-b96f-a0baf5d03511,10829,trimethoprim,1705674
0007892c-8c17-400d-b820-020aa32f433b,6470,lorazepam,791967
0007892c-8c17-400d-b820-020aa32f433b,6470,lorazepam,791967
0007892c-8c17-400d-b820-020aa32f433b,6470,lorazepam,791967
00088ecd-e45d-4080-b124-e66376ad7694,2582,clindamycin,997881
000900d4-b851-4ac4-80bb-406ff25e5590,448,ethanol,955372
000ae256-a337-4903-845b-003777a4efa8,1514,betamethasone,920458
000b5b37-3873-4007-b3be-ad99a9904bed,24605,etodolac,1195492
000bf57b-1805-4746-bf1c-32856241213a,8611,povidone-iodine,1750087
000c044a-12ef-4484-942e-99552b777d58,214342,calcium acetate,951469
000d7ed6-8907-4e0c-b731-a59e7b394285,24192,enrofloxacin,40170592
000dc81d-ab91-450c-8eae-8eb74e72296f,69749,valsartan,1308842
000dc81d-ab91-450c-8eae-8eb74e72296f,1656328,sacubitril,46275719
000dc81d-ab91-450c-8eae-8eb74e72296f,69749,valsartan,1308842
000dc81d-ab91-450c-8eae-8eb74e72296f,1656328,sacubitril,46275719
000dc81d-ab91-450c-8eae-8eb74e72296f,69749,valsartan,1308842
000dc81d-ab91-450c-8eae-8eb74e72296f,1656328,sacubitril,46275719
000dc81d-ab91-450c-8eae-8eb74e72296f,69749,valsartan,1308842
000dc81d-ab91-450c-8eae-8eb74e72296f,1656328,sacubitril,46275719
